VariableId,Name,CategoryName,Definition
21826,Availability,,The availability of the technology to perform the behavior of interest.
21827,Subjective norms,,The perceived expectation from an individuals key referents to perform the behavior of interest.
21828,Perceived behavioral control,,An individual's perception of existence or nonexistence of required resources and opportunities to perform the behavior of interest.
21829,Intent to find information on web,Behavioral intent - web,"Consumers intent to use the web for information gathering (information about auto policy coverage options, auto insurance companies, prices, and recommended coverage levels)."
21830,Continued use intention,,The intention to continue using the technology.
21831,Intent to transact,Behavioral intent - web,Intended use of the web to purchase auto insurance and file claims.
21832,Perceived ease of use,Decision process,
21833,Personal network exposure,,The proportion of adopters in an individuals personal network.
21838,Services provided,Value of insurance agent,"The extent to which their agent provides specific services and how important
each service is to them."
21840,Trust in agent,Value of insurance agent,"Beliefs about competence, benevolence, and honesty of the agent (interpersonal trust)."
21841,Perceived web obstacles,,
21843,Value of the web,,Perceived value of shopping on the web.
21846,Attitude,,Subject's attitude toward technology.
21847,Subjective norm,,
21848,Perceived behavioral control,,
21849,Intention to use,,Subject's intention to use the system.
21882,Work exhaustion,,"The depletion of one's emotional, mental, and physical resources."
21883,Job satisfaction,,Employees' job satisfaction.
21884,Turnover intention,,
21885,Role ambiguity,,"A sense of uncertainty about what is expected, how to achieve expectations, or the consequences of job performance."
21886,Perceived workload,,
21887,Role conflict,,An incompatibility between job expectations that may originate from one or more individuals with whom an employee interacts.
21888,Autonomy,,The degree to which an employee has discretion over how to perform work responsibilities and should experience greater felt responsibility for the work.
21889,Defining requirements,Communication time,"Collecting task information, collecting relevant information from design engineer, defining project, preparing statement of requirements (including type of analysis, type of model, and issues to attend to) and preparing PowerPoint file to complement statement of requirements."
21890,Monitoring progress,Communication time,"Placing phone call to Indian performance engineers to check on task status, sending e-mail to Indian performance engineers to check on task status, and reminding performance engineers of deadline."
21891,Fairness of rewards,,
21892,Fixing returns,,Inspecting completed work received from India and fixing problems in received models and analyses.
21893,Routing tasks strategically,,"Holding weekly status calls with Indian managers, monitoring number of jobs currently at India,  gauging number and timing of expected tasks to be sent, reserving/confirming available resources, sending new jobs when resources clearly available."
21894,Negative emotional dissonance,,The negative conflicts between norms of emotional display and an employee's felt emotion.
21895,Positive emotional dissonance,,The positive conflicts between norms of emotional display and an employee's felt emotion.
21896,Filtering quality,,"Comparing returned work against defined requirements, determining what aspects of returned work meet criteria, asking Indian performance engineer to redo aspects of returned work that fail to meet criteria or expectations."
21897,Negative affectivity,,
21898,Quality,Effectiveness,Performance engineers ratings of effectiveness in terms of quality of tasks returned.
21899,Speed,Effectiveness,Performance engineers ratings of effectiveness in terms of speed with which tasks were returned.
21900,Time savings,Effectiveness,Performance engineers ratings of effectiveness in terms of time savings of offshoring work.
21910,Behavioral intention,,The degree to which a person has formulated conscious plans to perform or not perform some specified future behavior.
21911,Facilitating conditions,,The degree to which an individual believes that an organizational and technical infrastructure exists to support use of the system.
21924,Ease of use,Problem-solving performance,"Participants perceptions about the ease of use of the unified modeling
language class diagram they employed in their problem-solving tasks."
21943,Usefulness [Original Technology Acceptance Model],,Users' perceptions of the usefulness of the new system.
21944,Usefulness [Fast Form Technology Acceptance Model],,Users' perceptions of the usefulness of the new system.
21945,Ease of use [Original Technology Acceptance Model],,Users' perceptions of the ease of use of the new system.
21946,Ease of use [Fast Form Technology Acceptance Model],,Users' perceptions of the ease of use of the new system.
21947,Predicted usage,,
21952,Internet privacy concerns,,Degree to which an internet user is concerned about online companies practices related to the collection and use of his or her personal information
21953,Distributive justice,,Degree to which an internet user perceives as fair the benefits he or she receives from online companies in return for the release of personal information.
21954,Procedural justice,,Degree to which an internet user perceives that online companies give him or her procedures for control of information privacy and make him or her aware of the procedures.
21955,Interactional justice,,Degree to which an internet user perceives of online companies as honest and trustworthy in complying with their promises related to information privacy.
21956,Societal benefits from complaining,,Degree to which an internet user perceives that complaining about privacy invasions will benefit other internet users by preventing them from being similarly victimized.
21957,Refusal,Information privacy-protective responses,Extent to which the participant indicates they would refuse to give information to online companies because they think it is too personal within the next three years.
21958,Misrepresentation,Information privacy-protective responses,The extent to which the participant indicates they would falsify some of their personal information if it was asked for by online companies within the next three years
21959,Removal,Information privacy-protective responses,The extent to which the participant indicates they would take actions to have their information removed from online companies database when their personal information was not properly handled
21960,Negative word-of-mouth,Information privacy-protective responses,The extent to which the participant indicates that they would speak to their friends and/or relatives about their bad experience with online companies mishandling personal information when their personal information was not properly handled.
21961,Complaining directly to online companies,Information privacy-protective responses,The extent to which the participant indicates they would write or call online companies to complain about the way they use personal information when your personal information was not properly handled.
21962,Complaining indirectly to third-party organizations,Information privacy-protective responses,The extent to which participants report they would write or call an elected official or consumer organization to complain about the way online companies use personal information when their personal information was not properly handled.
21963,Behavioral expectation,,"An individual's self-reported subjective probability of his or her performing a specified behavior, based on his or her cognitive appraisal of volitional and non-volitional behavioral determinants."
21966,Intensity,System use,Intensity of using a system.
22004,Depth,Assimilation,"The vertical impact of enterprise resource planning systems on their business activities, ranging from planning to decision making"
22005,Top management beliefs,,The extent to which top management considers that using the enterprise resource planning system can potentially benefit the organization.
22006,Top management participation,,The extent to which top management actively participates in the management of the enterprise resource planning initiative.
22007,Mimetic pressures,,The perceived extent to which competitors have benefited from assimilating enterprise resource planning.
22008,Coercive pressures,,"The extent of formal and informal pressures perceived by virtue of the competitive conditions, and requirements and incentives from the local government and industry associations."
22009,Normative pressure,,The perceived extent to which members of the dyadic relational channels have adopted enterprise resource planning and the extent to which the government and industry agencies promote the use of information technology and especially enterprise resource planning systems.
22010,Absorptive capacity,,The readiness of the organization for assimilating enterprise resource planning systems.
22011,Organizational compatibility,,"The perceived alignment between the IT innovation and the culture, values, and preferred work practices of the assimilating organization."
22012,Perceived work overload,,The perception that one has too much to do.
22013,Job autonomy,,"The degree to which the job provides substantial freedom, independence and discretion in scheduling the work and in determining the procedures to be used in carrying it out."
22014,Work family conflict,,A form of inter-role conflict in which the role pressures from the work and family domains are mutually incompatible in some respect.
22015,Fairness of rewards,,Perceived fairness of rewards.
22016,Work exhaustion,,Salient frustration about job outcomes.
22017,Organizational commitment,,"The extent to which one is involved in, and identifies with, one's organization."
22018,Turnover intention,,
22019,Group culture orientation,Organizational culture,"Human relations and flexibility, belonging, trust, and participation."
22020,Developmental culture orientation,Organizational culture,"Growth, resource, acquisition, creativity, and adaptation."
22021,Hierarchical culture orientation,Organizational culture,"Security, order, and routinization."
22022,Rational culture orientation,Organizational culture,"Productivity, efficiency, and goal achievement."
22023,Vertical use,,Maximum intensity of systems development methodology use.
22024,Horizontal use,,Systems development methodology use across the organization.
22025,Support for organizational alignment,Perceived systems development methodology support as production technology,
22026,Support for technical design,Perceived systems development methodology support as production technology,
22027,Support for verification and validation,Perceived SDM support as production technology,
22028,Perceived systems development methodology support as control technology,,
22029,Support for the common conception of systems development  practice,Perceived systems development methodology support as cognitive and cooperation technology,
22030,Support for the evaluation of systems development practice,Perceived systems development methodology support as cognitive and cooperation technology,
22031,Perceived systems development methodology impact on the quality of the systems developed,,
22032,Productivity effects and morale,Perceived systems development methodology impact on the quality and productivity of the development process,
22033,"Quality effects, goal achievement and reputation",Perceived systems development methodology impact on the quality and productivity of the development process,
22035,Relationship-oriented supply chain strategy,,The extent to which the firm emphasizes developing long-term supplier relationships.
22037,Likelihood of reverse auction use,,Respondent's ratings of the likelihood of reverse auction use for production goods.
22038,Task-based: Quality,Non-contractibility,"Manufacturing capability, warranty implications, and criticality in
terms of interaction with other components in an assembly."
22039,Task-based: Technological investments,Non-contractibility,"Suppliers track record of continuous improvement in existing products, development of new products, and investment in keeping abreast with technological developments."
22040,Task-based: Information exchanges,Non-contractibility,Exchange of proprietary information between buyer and supplier for cost reduction and involvement in planning and goal setting activities.
22041,Interaction-based: Responsiveness,Non-contractibility,Suppliers sensitivity and ability to respond quickly to buyers needs and to keep buyer updated on the requests.
22042,Interaction-based: Trust,Non-contractibility,"Buyers perception about suppliers trustworthiness, confidence in supplier, and belief that supplier will honor its promises."
22043,Interaction-based: Flexibility,Non-contractibility,"Willingness of supplier to modify a contract, make necessary adjustments, and react to buyers requests that may be beyond the terms of a contract. Flexibility relates more to the strategic aspects of a relationship while responsiveness (see above) relates more to operational issues."
22044,Information technology (IT) capability,,Information system sophistication.
22045,Differentiation competitive strategy,,The extent to which the firm emphasizes competing on cost or differentiation.
22046,Asset specificity,,The degree to which investment in a particular asset has lower value in its next-best use.
22064,Trust propensity,,Subjects' tendency to trust others.
22067,Privacy concerns,,Subjects' concerns with their privacy over the Internet.
22073,Familiarity with privacy seals,,Subjects' familiarity with local privacy seals.
22074,Tendency to lie,,Subject's tendency to lie.
22075,Trust in information handling practice,,Subject's trust in the company in handling their private information.
22289,Product diagnosticity,Uncertainty mitigators,The extent to which a buyer believed that a website is helpful in terms of evaluating a product.
22295,Trust,Uncertainty mitigators,"A buyers intentions to accept vulnerability based on her beliefs that transactions with a seller will meet her confident transaction expectations due to
the sellers competence, integrity, and benevolence."
22296,Website informativeness,Uncertainty mitigators,The degree to which a website offers information buyers perceive as useful.
22303,Social presence,Uncertainty mitigators,The extent to which buyers perceive the website to effectively convey the presence of the (human) seller behind the website.
22304,Perceived information asymmetry,Uncertainty antecedents,The buyers perception that the quantity and quality if information is distributed asymmetrically between principals (buyer) and agents (seller).
22305,Fears of seller opportunism,Uncertainty antecedents,The buyer's concerns that the seller may act opportunistically.
22310,Information privacy concerns,Uncertainty antecedents,"A buyers beliefs about a sellers inability and unwillingness to protect her personal information from improper use, disclosure to third parties, and
secondary use without the buyers consent."
22316,Information security concerns,Uncertainty antecedents,The buyers beliefs about a sellers inability and unwillingness to safeguard their monetary information from security breaches during transmission and storage.
22321,Intention to transact,,Participant's intention to purchase products online.
22327,Perceived uncertainty,,The degree to which the outcome of a transaction cannot be accurately predicted by the buyer due to seller and product related factors.
22328,Purchase involvement,,"The intrinsic importance of a product to the
buyer."
22329,Perceived usefulness,,The buyers belief that a website will enhance personal effectiveness in purchasing products online.
22330,Perceived ease of use,,"The extent to which a user believes that using the system does not require
considerable effort."
22584,Attitude,,"The behavioral, cognitive belief."
22591,Subjective Norms,,"The normative, external pressure."
22595,Facilitating conditions,,
22601,Intention to use,,
23440,Perceived website diagnosticity,,Consumers' perceptions of the extent to which a particular website is helpful for them to understand products in online shopping.
23441,Perceived usefulness,,The extent to which a particular website is expected to help online consumers to accomplish their shopping goals.
23442,Intentions to return,,Consumers' intentions to revisit the website.
23572,Computer anxiety,,General anxiety about the implications involved in using computers.
23573,Self-efficacy,,"A persons belief in his or her capacity
to perform."
23582,Expertise location,,The extent to which team members know who on the team knows what.
23583,Task-knowledge coordination,,"The teams ability to develop overlapping mental representations of how the task can be divided and the relationships between subtasks and
team members."
23584,Cognition-based trust,,Team members beliefs about one another's ability and reliability to carry out the task.
23590,Willingness to buy products online,,
23592,Willingness to sell products online,,
23593,Appraisal score,,"Various aspects of leadership skills, including team building, goal emphasis, supervisory support, communication skills, and vision."
23594,Confidence in the appraisal made,,The extent to which the decision maker feels that he or she has reached a good decision outcome or made a good judgment.
23596,Satisfaction,,
23597,Confirmation,,
23598,Information systems continuance intention,,
23600,Perceived usefulness,,
23602,Habit,,"The extent to which people
tend to perform behaviors (use IS) automatically because of learning."
23612,Information technology (IT) strategy making,Information technology (IT) relatedness,"The use of common managerial processes that are likely to enhance
coordination of information technology strategies across business units."
23613,Information technology (IT) vendor management,Information technology (IT) relatedness,The use of common strategic goals and vendor management processes that are likely to enhance coordination of information technology vendor relations and increase the firms negotiation power against information technology vendors.
23614,Information technology (IT) human resources (HR) management,Information technology (IT) relatedness,The use of common information technology-human resources processes that are likely to enable a firm to exploit its information technology skills and know-how across multiple business units.
23615,Information technology (IT) infrastructure,Information technology (IT) relatedness,"The use of common hardware, software, and communications technologies across business units."
23676,Information transparency,,Consumer-rated importance of information transparency features.
23677,Privacy policy,,Importance of privacy policy.
23678,Privacy concern,,Consumer concern for information privacy.
23679,Previous privacy invasion,,Whether the participant believed his or her privacy had been previously invaded.
23689,Personalized service,Consumer willingness to be profiled,Consumer willingness to be profiled for personalized service.
23690,Personalized advertising,Consumer willingness to be profiled,Consumer willingness to be profiled for personalized advertising.
23718,Moral recognition,,
23719,Moral judgment,,
23720,Moral intention,,
23729,Perceived usefulness,,The extent to which a person believes that using a technology will enhance her/his productivity.
23730,Perceived ease of use,,The extent to which a person believes that using a technology will be free of effort.
23731,Behavioral intention to use,,Participant's intention to use the technology.
23732,Computer self-efficacy,Control,"Ones belief about her/his
ability to perform a specific task/job using a computer."
23733,Facilitating conditions,Control,Perceptions of external control.
23734,Computer anxiety,Emotion,"An individuals apprehension, or even fear, when she/he is faced with the possibility of using computers."
23735,Computer playfulness,Intrinsic motivation,The degree of cognitive spontaneity in microcomputer interactions.
23736,Perceived enjoyment,,"The extent to which the activity of using
a specific system is perceived to be enjoyable in its
own right, aside from any performance consequences
resulting from system use."
23740,Intentions to get information,,Participant's intentions to get information from the vendor's website.
23741,Attitudes toward getting information,,Participant's overall evaluation of getting information from the vendor's website.
23742,Subjective norm on getting information,,Participant's perception of the expectations of important others about getting information from the vendor's website.
23743,Perceived behavioral control over getting information,,Control beliefs and their perceived power of getting information from the vendor's website.
23744,Self-efficacy over getting information,,Consumers' judgments of their own capabilities to get product information online.
23745,Controllability over getting information,,Consumers' perceptions of whether getting information online is completely up to them because of the availability of resources and opportunities.
23746,Trust in getting information,,"Consumer's belief that the Web vendor will provide valid, accurate, and timely information."
23747,Perceived usefulness of getting information,,The extent to which a consumer believes that a specific vendor would enhance her  effectiveness in purchasing products.
23748,Perceived ease of getting information,,"The extent to which a consumer believes that getting product information
from a website would be free of effort."
23749,Time resources,,Having the time needed to browse for product information is a prerequisite for getting information.
23750,Download delay,,The amount of time it takes for a website to display a requested page from a Web server.
23751,Website navigability,,"The natural sequencing of web pages, well-organized layout, and consistency of navigation protocols."
23752,Getting information skills,,A consumer's knowledgeability in getting product information from a vendor's website and making product evaluations.
23753,Getting information habit,,The frequency of getting information online.
23756,Purchasing intentions,,Participant's intentions purchase a product from the vendor's website.
23757,Purchasing attitudes,,Participant's attitudes toward purchasing a product from the vendor's website.
23758,Purchasing subjective norm,,Participant's perception of the expectations of important others about purchasing a product from the vendor's website.
23759,Perceived behavioral control over purchasing,,Control beliefs and their perceived power of purchasing a product from the vendor's website.
23760,Purchasing self-efficacy,,Consumers' judgments of their own capabilities to purchase products online.
23761,Purchasing controllability,,Consumers' perceptions of whether purchasing products online is completely up to them because of the availability of resources and opportunities.
23762,Trust in purchasing,,Consumer's trust in the web vendor when purchasing a product from their website.
23763,Perceived purchasing usefulness,,"The extent to which a
consumer believes that a specific vendor would enhance her
effectiveness in purchasing products."
23764,Perceived ease of purchasing,,"The extent to which a consumer believes that
purchasing products from a Web vendor would be free of effort."
23765,Product value,,A product that offers an attractive combination of quality and price.
23766,Monetary resources,,Having the required monetary resources.
23767,Perceived diagnosticity,,The extent to which a consumer believes that a website is helpful in terms of fully evaluating a product.
23768,Perceived information protection,,The consumers belief about the Web vendors ability to fulfill security requirements.
23769,Purchasing skills,,To the  consumer's knowledgeability about purchasing products online and  making sound purchasing decisions.
23770,Purchasing habit,,
23772,Web vendor reputation,,The reputation of the web vendor.
23780,Computer self-efficacy [Marakas],,An individual's perception of efficacy in performing specific computer-related tasks within the domain of general computing.
23789,Component complexity,Perceived website complexity,The degree to which users find the form and content cues at the individual webpages visually dense and dissimilar.
23790,Coordinative complexity,Perceived website complexity,Users' perceptions of the range of and the degree of connectedness among the information clusters at a website.
23791,Dynamic complexity,Perceived website complexity,Users' perceptions of ambiguity of hyperlinks and uncertainty of the relationship between the hyperlink and the ensuing webpages.
23793,Product familiarity,User familiarity,The users knowledge of the product and frequency of product use.
23794,Website familiarity,User familiarity,The users knowledge of the website and frequency of visits to it.
23796,User satisfaction,,Overall satisfaction with the website.
23835,Computer playfulness,,How an individual will behave when interacting with a particular kind of information technology.
23836,Personal innovativeness in the domain of information technology,,The likelihood of an individual choosing to interact with any information technology or not.
23838,Perceived ease of use,,The degree to which the user expects the target system to be free of effort.
23839,Attitude towards use,,The user's evaluation of the desirability of his or her using the system.
23840,Behavioral intention to use,,Individual's intention to use the system.
23842,Normative belief,,The individual's perception of a referent other's opinion about the individual's performance of the behavior.
23843,Subjective norms,,The perceived opinions of referent others.
23844,Perceived behavioral control,,"The individual's perceptions of the presence or absence of requisite resources and opportunities necessary to perform the behavior. PBC depends on control beliefs and perceived facilitation. A control belief is a perception of the availability of skills, resources, and opportunities. Perceived facilitation is the individual's assessment of the importance of those resources to the achievement of outcomes."
23845,Behavioral belief,,The subjective probability that the behavior will lead to a particular outcome.
23846,Outcome evaluation,,A rating of the desirability of the outcome.
23847,Motivation to comply,,The extent to which the person wants to comply with the wishes of the referent other.
23848,Control belief,,"A perception of the availability of skills, resources, and opportunities."
23849,Perceived facilitation,,The individual's assessment of the importance of those resources to the achievement of outcomes.
23850,Compatibility,,"The degree to which use of the personal work station is compatible with, or requires change, in one's job."
23852,Trialability,,The degree to which it is possible to try using the personal work station.
23855,Perceived ease of use,,The degree to which an individual believes that using a particular system would be free of physical and mental effort.
23856,Relative advantage,,The degree to which using the innovation is perceived as being better than using its precursor.
23857,Result demonstrability,The tangibility of the results of using the innovation.,
23858,Image,,The degree to which the use of the personal work station enhances one's image or status within the organization.
23859,Visibility,,The visibility of personal work station outside the organization.
23860,Voluntariness,,The degree to which the use of the personal work station is perceived as being voluntary.
23869,Quantitative nature of work,,Perception that the employees job is primarily quantitative or routine.
23870,Reliance on qualitative measures,,"Perception of the degree to which the employer relies on qualitative, or subjective, measures of employee performance."
23871,Acceptance of qualitative measures,,"Degree to which the employee considers the qualitative measures used to be acceptable (fair, accurate and appropriate)."
23872,Reliance on quantitative measures,,Perception of the degree to which the employer relies on quantitative measures of employee performance.
23873,Acceptance of quantitative measures,,"Degree to which the employee considers the quantitative measures used to be acceptable (fair, accurate and appropriate)."
23874,Perceived employer production message,,Perception that employer considers production an important component of overall performance.
23875,Perceived employer service message,,Perception that employer considers service an important component of overall performance.
23876,Personal importance of production,,Degree to which employee believes that production is an important component of overall performance.
23877,Personal importance of service,,Degree to which employee believes that service is an important component of overall performance.
23889,Role overload,Work-family conflict,
23890,Work to family,Work-family conflict,Spillover of role interference from the work to the family domain.
23891,Family to work,Work-family conflict,Spillover of role interference from the family to the work domain.
23982,Perceived disorientation,,"When the user does not have a clear conception of relationships within the system, does no know his present location in the system relative to the display structure, and finds it difficult to decide where to look next within the system."
23983,Engagement,,When a system holds their attention and they are attracted to it for intrinsic rewards.
23985,Future intentions to use,,Participant's intentions to revisit the sites in the future.
23988,Asset specificity,Transaction costs,"The degree to which an asset can be redeployed to alternative uses and by alternative users without sacrifice of
productive value."
23989,Uncertainty,Transaction costs,The computational inability to ascertain the structure of the environment.
23990,Opportunism,Transaction costs,"Self-interest seeking with guile, to include calculated efforts to mislead, deceive, obfuscate, and otherwise confuse."
23991,Bounded rationality,Transaction costs,Behavior that is intendedly rational but only limitedly so.
23992,Frequency,Transaction costs,"The repetitiveness of a certain type
of transaction."
23997,Pluralism,,
23998,Strategic reference groups,,Groups that shape organizations awareness of relevant competencies and response patterns.
24004,Subjective norms,,"A person's perception that most
people who are important to him thinks he should or should not perform the behavior in question."
24005,Perceived ease of use,,"The facility with which one can
learn and utilize the system."
24006,Perceived usefulness,,The perceived likelihood that a system will improve one's job performance.
24007,Espoused masculinity/femininity,,The degree to which gender inequalities are espoused by an individual.
24008,Espoused individualism/collectivism,,The degree to which the individual emphasizes his/her own needs as opposed to the group needs and prefer to act as an individual rather than as a member of a group.
24009,Espoused power distance,,"The degree to which large differentials of power and Inequality are accepted as normal by the
individual."
24010,Espoused uncertainty avoidance,,"The level of risk accepted by the individual, which can be gleaned
by his/her emphasis on rule obedience, ritual behavior, and labor mobility."
24011,Behavioral intention to use,,Behavioral intention to use a specific information technology.
24012,Argument quality,,"The persuasive strength of arguments
embedded in an informational message."
24013,Attitude,,"Belief, affect, and intention regarding information technology acceptance."
24014,Job relevance,,"The message recipients perceived
relevance of an IT system to their work."
24015,User expertise,,"The message recipients
ability to use IT in general."
24016,Perceived usefulness,,"The extent to which potential users expect using an IT system
to benefit their task performance."
24017,Information technology usage intention,,Expected benefits of information technology (IT) usage.
24018,Source credibility,,"The extent to which an
information source is perceived to be believable, competent,
and trustworthy by information recipients."
24063,Team creativity,,The degree to which a project team's processes are novel in the context of the project's objectives.
24064,Expertise integration,,"The coordinated application of
individually held specialist expertise in the accomplishment of tasks at the project level."
24065,Expertise heterogeneity,,The diversity in the expertise possessed by the members of a project team.
24066,Relational capital,,"The level of trust, reciprocity, and closeness of working relationships among the members of a team."
24067,Absorptive capacity,,The ability of the members of a team to interrelate in a project's context to the expertise of their peers outside of their own specialized domain.
24083,Perceived usefulness,,The instrumental value derived from use of a technology.
24084,Ease of use,,Perceived cognitive burden induced by a technology.
24085,Compatibility with preferred work style,,Possibility offered by the technology of being consistent with a desired work style.
24086,Compatibility with existing practices,,Extent to which a technology fits with a users current work process.
24087,Compatibility with prior experience,,Extent of fit between the target technology and a variety of users past encounters with technology.
24088,Perceived personalization,,A recommendation agent's (RA's) understanding of a particular customers personal needs.
24089,Familiarity,,The customers understanding of the recommendation agent (RA).
24090,Compatibility with values,,Extent to which there is a match between the possibilities offered by the technology and the users dominant value system.
24091,Cognitive trust in competence,,A customers rational expectation that an recommendation agent (RA) has the capability to provide good product recommendations.
24092,Cognitive trust in  integrity,,"A customers rational expectation that a
recommendation agent (RA) will provide objective advice."
24093,Minutes,Usage intensity,"How many minutes the participant reports they would use the customer
relationship management system on a typical day."
24094,Emotional trust,,A customers feelings of security and comfort about relying on a recommendation agent (RA) for the decision on what to buy.
24095,Frequency,Usage intensity,"Whether the participant reports accessing the customer
relationship management system never, a few times a year, monthly, weekly, daily, or nearly all the time."
24096,Adopt as delegated agent,,The intention to adopt a recommendation agent (RA) as a delegated agent.
24097,Adopt as decision aid,,The intention to adopt a recommendation agent (RA) as a decision aid.
24099,Features,Usage scope,"What percent of features and functions available in the customer
relationship management system the participant reports using on a fairly regular basis."
24104,Client interactions using system,Usage scope,"What percentage of client interactions the participant estimates are managed using the customer
relationship management system."
24120,Evaluation of offers [study 1],,The usefulness of personalized banners.
24165,Depth,Open-standard interorganizational systems adoption,The extent to which distinct information systems are integrated by open Internet standards so that information can flow smoothly between back office systems within the company and between these systems with suppliers.
24167,Trading community influence,Network effects,"The extent to which a firm's customers, suppliers, and other vertical partners in its trading community are willing to use or support the open-standard interorganizational system."
24168,Peer adoption,Network effects,The extent of open-standard interorganizational system diffusion among horizontal peers in the same industry.
24169,Expected benefits,,The operational benefits a firm expects from adopting open-standard interorganizational systems.
24170,Financial cost,Adoption cost,The required financial investment in implementing and using open-standard Internet interorganizational systems.
24171,Managerial complexity,Adoption cost,The level of complexity and attendant risk associated with making process changes and the organizational adjustments necessary to accommodate the new open-standard interorganizational system.
24172,Transactional risk,Adoption cost,Risk and security concerns about transactions conducted over the Internet platform.
24173,Legal barriers,Adoption cost,The lack of institutional frameworks and business laws governing the use of Internet interorganizational systems.
24327,Accessibility,Communication channel characteristics,Difficulties in both physically accessing a source of information and acquiring information from the source once physical access has been gained.
24328,Information quality,Communication channel characteristics,"Relevance, accuracy, reliability, and timeliness."
24329,Cue variety,Communication channel characteristics,Cue variety enables an individual to both make use of multiple cues and to use cues which possess a wide range of meaning.
24330,Feedback,Communication channel characteristics,"Immediate feedback enables an individual to ask questions and instantly receive answers, thus enabling message meaning and appropriateness to be more quickly assessed and modified as necessary."
24331,Message personalization,Communication channel characteristics,"Message personalization would enable an individual to finely tailor a message being transmitted to best fit the recipient, the situation, or both."
24332,Receiver access,Communication channel characteristics,
24401,Information fit-to-task,,The degree to which a website is congruent with the task's characteristics.
24402,Perceived visual appeal,,"The presence of visual elements, such as colors, that enhance a website's look."
24403,Perceived usefulness,,The extent to which the online user believes that his or her shopping productivity will be enhanced by using a particular website.
24404,Perceived enjoyment,,"The extent to
which the activity of using a website is perceived to
be enjoyable in its own right, apart from any performance
consequences that may be anticipated."
24405,Urge to buy impulsively,,A consumer's current state of impulsiveness after being exposed to a website.
24454,Security policies,,User awareness of security policies.
24461,Perceived risk,,A consumer's subjective belief about the potential uncertain negative values from the online transaction with the selling party or entity.
24462,Internet consumer trust,,A consumer's subjective belief that the selling party or entity on the Internet will fulfill its transactional obligations as the consumer understand them.
24463,Perceived  benefit,,A consumer's subjective perceptions about the potential values from the online transaction with a certain Website.
24464,Willingness to purchase,,Consumer's willingness to make a transaction through the website.
24466,Expectation,,What consumers predict they should and will receive from the e-tailor through a specific current e-commerce transaction.
24467,Perceived performance,,"The consumer's perception of how the transaction, including product/service performance, fulfills his or her needs, wants and desires."
24468,Confirmation,,The consumer's subjective judgment of the transaction performance against some prepurchase standards.
24469,Consumer satisfaction,,A customer's cognitive and affective state of fulfillment after the purchase.
24470,E-loyalty,,"A positive attitude reflecting retention to the e-tailor website, intention to repurchase from the e-tailor website, and willingness to recommend the website to friends."
24471,Disposition to trust,,Consumer's disposition to trust.
24472,Familiarity,,Consumer's familiarity with the site.
24501,Data consistency,Integration for supply chain management,"The degree to which common data definitions and consistency in stored data have been
established across a focal firm's supply chain."
24502,Information flow integration,Supply chain process integration capability,"The extent of operational, tactical,and strategic information sharing that occurs between a focal firm and its supply chain partners."
24503,Operations excellence,Firm performance,A focal firm's responsiveness to customers and improvements in productivity relative to its competition.
24504,Consumer demand predictability,,Length of product lifecycle and forecast error for products.
24507,Customer relationships,Firm performance,"The degree to which the focal firm's relationship with customers and information about
their preferences is better than its competitors."
24508,Revenue growth,Firm performance,Sales from existing products and from new products and markets.
24526,Benefits,Risk factor,"The degree of uncertainty over whether the expected investment benefits are clear, validated, credibly projected, and linked to adequate realization plans."
24527,Skills and experience,Risk factor,The degree of uncertainty over the existing level of IT skills and experience being adequate for the project investment.
24528,Size and complexity,Risk factor,The degree of uncertainty due to the size complexity of the application task as well as due to dependence on individuals.
24529,Architectural stability,Risk factor,"The degree of uncertainty about compliance with the firms technical architecture, which gives rise to architecture instability and inadequate infrastructural support."
24530,Performance,Risk factor,The degree of uncertainty about the application meeting the performance level expected/needed by the intended users.
24531,Clarity of scope,Risk factor,"The degree of uncertainty over the scope of the investment, and hence over the ability of the resulting application to provide the functionality expected/needed by all the target users."
24532,Organizational support,Risk factor,"The degree of uncertainty over the organizational support offered at the level of sponsorship, management, business units, and users."
24533,Change impact,Risk factor,The degree of uncertainty over the ability of the affected business units to handle change.
24534,Business environment,Risk factor,The degree to which the business environment is unstable and unpredictable to the point where it could impact the ability to fully obtain the expected investment benefits.
24535,Technology novelty,Risk factor,The degree of uncertainty over the maturity of the implementation technology.
24536,Project execution flexibility and risk management,Risk factor,The degree of uncertainty over the adequacy of project and risk management planning and of the associated processes incorporated into the business case (including contingencies for harnessing partial benefits and limiting loss).
24537,Perceived usefulness,Technology acceptance,The extent to which a technological innovation is expected to improve the potential adopters performance.
24538,Perceived ease-of-use,Technology acceptance,The degree to which the potential adopter expects a technological innovation to be free of effort in use.
24541,Relative advantage,Perceived characteristics of innovating,The degree to which an innovation is perceived to be superior to current offerings.
24544,Ease-of-use,Perceived characteristics of innovating,The degree to which an innovation is perceived to be easy to use.
24550,Negative impact,,Whether respondents view OSS/FS as an inferior product that would produce low productivity gains when used.
24551,Compatibility,Perceived characteristics of innovating,The degree to which an innovation meshes with the adopters current habits and practices.
24552,Image,Perceived characteristics of innovating,The degree to which an individual believes that the adoption of an innovation will bestow them with added prestige in their relevant community.
24554,Result demonstrability,Perceived characteristics of innovating,The degree to which the benefits and utility of an innovation are readily apparent to the potential adopter.
24555,Software profits,Attitude toward paying for software,Whether respondents believe software companies make excessive profits.
